gene,species
SULT2B1,gamo_cpg
Cpne7,gamo_cpg
Spg7,gamo_cpg
ANKRD11,gamo_cpg
Cdh15,gamo_cpg
ACSF3,gamo_cpg
CBFA2T3,gamo_cpg
GALNS,gamo_cpg
cdt1,gamo_cpg
Piezo1,gamo_cpg
ZC3H18,gamo_cpg
SLC7A5,gamo_cpg
Klhdc4,gamo_cpg
Zcchc14,gamo_cpg
KIAA0513,gamo_cpg
GSE1,gamo_cpg
IRF8,gamo_cpg
hnf4b,gamo_cpg
USP10,gamo_cpg
KLHL36,gamo_cpg
COTL1,gamo_cpg
ATP2C2,gamo_cpg
MLYCD,gamo_cpg
PLCG2,gamo_cpg
CMIP,gamo_cpg
Gan,gamo_cpg
BCO1,gamo_cpg
GCSH,gamo_cpg
MMP15,gamo_cpg
CNGB1,gamo_cpg
KIFC3,gamo_cpg
Adgrg3,gamo_cpg
Ccdc102a,gamo_cpg
COQ9,gamo_cpg
CPNE2,gamo_cpg
exoc3l1,gamo_cpg
ELMO3,gamo_cpg
LCAT,gamo_cpg
SPCC663.06c,gamo_cpg
Ripor1,gamo_cpg
CARMIL2,gamo_cpg
csgA,gamo_cpg
AARS,gamo_cpg
Exosc6,gamo_cpg
Clec18a,gamo_cpg
FBLN7,gamo_cpg
ARHGEF40,gamo_cpg
Slc9a5,gamo_cpg
Fhod1,gamo_cpg
Hsd11b2,gamo_cpg
Atp6v0d1,gamo_cpg
AGRP,gamo_cpg
SNRK,gamo_cpg
CNOT1,gamo_cpg
CMTR2,gamo_cpg
VAC14,gamo_cpg
SPCC663.09c,gamo_cpg
SF3B3,gamo_cpg
COG4,gamo_cpg
ST3GAL2,gamo_cpg
PDPR,gamo_cpg
GLG1,gamo_cpg
MLKL,gamo_cpg
FA2H,gamo_cpg
WDR59,gamo_cpg
CTRB1,gamo_cpg
SLC12A3,gamo_cpg
Nup93,gamo_cpg
gna0,gamo_cpg
UPF0183,gamo_cpg
HSF4,gamo_cpg
HSDL1,gamo_cpg
NECAB2,gamo_cpg
OSGIN1,gamo_cpg
Ripk2,gamo_cpg
Smpd3,gamo_cpg
NFATC3,gamo_cpg
Ddx28,gamo_cpg
SLC12A4,gamo_cpg
SLC6A2,gamo_cpg
Lpcat2,gamo_cpg
Irx6,gamo_cpg
TOX3,gamo_cpg
CYLD,gamo_cpg
LONP2,gamo_cpg
PHKB,gamo_cpg
ITFG1,gamo_cpg
Neto2,gamo_cpg
CDCA9,gamo_cpg
SHCBP1,gamo_cpg
CCNE1,gamo_cpg
DPY19L3,gamo_cpg
CadN,gamo_cpg
ANKRD27,gamo_cpg
NUDT19,gamo_cpg
Dync1li2,gamo_cpg
SPATA2,gamo_cpg
BEAN1,gamo_cpg
NAE1,gamo_cpg
Pdp2,gamo_cpg
CIAO2B,gamo_cpg
Fatty,gamo_cpg
wtip,gamo_cpg
KIAA0355,gamo_cpg
kctd15,gamo_cpg
Chst8,gamo_cpg
RHPN2,gamo_cpg
ADAMTS18,gamo_cpg
HYDIN,gamo_cpg
FGD3,gamo_cpg
CARD19,gamo_cpg
Wnk2,gamo_cpg
FAM120A,gamo_cpg
BARX1B,gamo_cpg
Fbln2,gamo_cpg
IQSEC1,gamo_cpg
Gp9,gamo_cpg
Isy1,gamo_cpg
mkrn2,gamo_cpg
PPARG,gamo_cpg
TIMP4,gamo_cpg
tamm41,gamo_cpg
ATG7,gamo_cpg
Slc6a11,gamo_cpg
IARS,gamo_cpg
EFCC1,gamo_cpg
SEMA3F,gamo_cpg
SELENOK,gamo_cpg
CACNA1D,gamo_cpg
FANCD2,gamo_cpg
Usp4,gamo_cpg
TEX264,gamo_cpg
Oasl2,gamo_cpg
Sema3b,gamo_cpg
GNAI2,gamo_cpg
Abhd14b,gamo_cpg
ACY1,gamo_cpg
BAP1,gamo_cpg
HAUS3,gamo_cpg
DNAH1,gamo_cpg
GLYCTK,gamo_cpg
TWF2,gamo_cpg
NISCH,gamo_cpg
STAB1,gamo_cpg
Nt5dc2,gamo_cpg
PBRM1,gamo_cpg
PFKFB4,gamo_cpg
Rassf1,gamo_cpg
zmynd10,gamo_cpg
CACNA2D2,gamo_cpg
Uncharacterized,gamo_cpg
Hemk1,gamo_cpg
MAPKAPK3,gamo_cpg
DOCK3,gamo_cpg
DCAF1,gamo_cpg
SEMA3D,gamo_cpg
RBM6,gamo_cpg
MON1A,gamo_cpg
Camkv,gamo_cpg
TRAIP,gamo_cpg
BSN,gamo_cpg
Apeh,gamo_cpg
MST1,gamo_cpg
NICN1,gamo_cpg
UBA1,gamo_cpg
fam212ab,gamo_cpg
CDHR4,gamo_cpg
RNF123,gamo_cpg
WNT5A,gamo_cpg
CCDC66,gamo_cpg
FAM208A,gamo_cpg
Arhgef3,gamo_cpg
DNAH7,gamo_cpg
Slmap,gamo_cpg
FLNB,gamo_cpg
Nckipsd,gamo_cpg
Celsr3,gamo_cpg
COPG1,gamo_cpg
RPN1,gamo_cpg
KBTBD12,gamo_cpg
Abtb1,gamo_cpg
mcm2,gamo_cpg
TPRA1,gamo_cpg
PLXNA1,gamo_cpg
Slc41a3,gamo_cpg
Klf15,gamo_cpg
CFAP100,gamo_cpg
Zxdc,gamo_cpg
Ntn4,gamo_cpg
XPC,gamo_cpg
SLC6A6,gamo_cpg
grip2,gamo_cpg
CCDC51,gamo_cpg
SETD5,gamo_cpg
LHFPL4,gamo_cpg
MTMR14,gamo_cpg
CPNE9,gamo_cpg
Brpf1,gamo_cpg
Camk1,gamo_cpg
Ttll3,gamo_cpg
Creld1,gamo_cpg
PRRT3,gamo_cpg
